"UserID","Decay_Value","SyncRate_Value","Tracing"
"A100Y89FZO4J0B",2.52,0.7,"True"
"A10LLZZHZVGWRW",2.4,0.64,"True"
"A10O5YR01H865K",0.79,0.68,"True"
"A10YS8AVLQWUZZ",0.77,0.6,"True"
"A1160COTUR26JZ",2.87,0.72,"True"
"A124E03UMDZAA9",1.59,0.6,"True"
"A12HZGOZQD5YK7",3,0.64,"True"
"A13FUEPWBCLBUY",2.24,0.66,"True"
"A13GGKMPBDKWX6",3,0.44,"True"
"A13P6LC1SFXYGS",0.59,0.6,"True"
"A14HW8I4RYHNC4",2.33,0.62,"True"
"A14SEFVPXYZ9TN",1.23,0.68,"True"
"A1561P9VVA3C1C",0.62,0.52,"True"
"A16SJ5D3DKUEXJ",3,0.52,"True"
"A16TP8YGKE1FJ5",3,0.56,"True"
"A17OINLIDZ0C14",3,0.68,"True"
"A17TKHT8FEVH0R",0.97,0.56,"True"
"A17WT0K0HFTW9U",3,0.64,"True"
"A188SHJZPHE8BA",1.36,0.76,"True"
"A18E16UFE351U6",1.02,0.7,"True"
"A18ZZDT5VJR35Z",3,0.62,"True"
"A19DZAFFZEU6GN",2.56,0.56,"True"
"A19ZWBQT8A3LIR",1.37,0.56,"True"
"A1AQQFJAF8CI4H",0.16,0.64,"True"
"A1B78YH6IB8K3Z",1.94,0.72,"True"
"A1CAIKMPROFYQ8",3,0.26,"True"
"A1CMWA0L8FTSXA",2.38,0.64,"True"
"A1CSDIX05PK9V",2.57,0.66,"True"
"A1CTUG0RUGCY48",3,0.58,"True"
"A1DNJ17PE2RYJZ",2.05,0.76,"True"
"A1DUPOUC9RNU4L",1.38,0.58,"True"
"A1EBVJWBNNPUFU",1.34,0.68,"True"
"A1EITLFAMKA61U",1.27,0.7,"True"
"A1EX9PH5R5V4IX",0.16,0.74,"True"
"A1F1OZ54G177D8",0.54,0.52,"True"
"A1F2VHKMDWEA2X",1.64,0.64,"True"
"A1F4N58CAX8IMK",3,0.62,"True"
"A1F9KLZGHE9DTA",0.42,0.78,"True"
"A1FUR4UJ0S46W6",2.17,0.46,"True"
"A1FYWSPNO7KN1O",0.79,0.74,"True"
"A1G6F1HWIS2K2K",0.74,0.6,"True"
"A1GKD3NG1NNHRP",3,0.62,"True"
"A1GPZ5REMDQZ0L",2.05,0.64,"True"
"A1GXFMAC759VRM",0.85,0.68,"True"
"A1H72Y9Z5NJXDS",0.65,0.64,"True"
"A1HMO9XPRPUPWJ",0.94,0.62,"True"
"A1IDAOL2MZ3L3L",2.11,0.76,"True"
"A1IMO5XR05U7S5",1.16,0.62,"True"
"A1ING769NXJIHR",2.49,0.7,"True"
"A1IUH9D7N69VS",3,0.5,"True"
"A1IXH2QLUU5BKZ",0.59,0.64,"True"
"A1JV64BL3WCK0G",0.97,0.6,"True"
"A1K0S514CEY1UG",3,0.62,"True"
"A1KLAGM9CCOFBN",3,0.28,"True"
"A1LE6AUI3CJNIT",2.67,0.34,"True"
"A1LOUZD99NZCT2",1.07,0.36,"True"
"A1MB3A5MC58LK6",0.3,0.66,"True"
"A1MJVTR0PCKBWW",0.43,0.74,"True"
"A1MN2PWAV10VAB",1.97,0.74,"True"
"A1N16ZU0FNQEY6",0.22,0.72,"True"
"A1NVJB5O4H7ZCJ",1.52,0.58,"True"
"A1ODGBU73JE8S",3,0.46,"True"
"A1OPGPTQJ48XOY",2.1,0.66,"True"
"A1P6LFEAY9MWAY",0.32,0.7,"True"
"A1PAMVTKGCXSWQ",1.98,0.58,"True"
"A1PLB1NZOE2PQ7",2.18,0.66,"True"
"A1PMZUBGXFANCI",0.61,0.68,"True"
"A1QRGVE005067Q",2.71,0.66,"True"
"A1SOQ9Q35SASE4",0.29,0.64,"True"
"A1T3ROSW2LC4FG",1.17,0.66,"True"
"A1UKAS30R0MFI6",1.97,0.7,"True"
"A1UNBT94I82S8V",2.35,0.54,"True"
"A1UW0C6QZOT3E7",3,0.62,"True"
"A1V2H0UF94ATWY",2.14,0.56,"True"
"A1VAL7L9L79IN0",2.2,0.62,"True"
"A1VIP6S8H2XXH7",2.07,0.68,"True"
"A1VIUV55F27XVM",2.58,0.8,"True"
"A1W5UNVGLYVEI8",1.06,0.8,"True"
"A1XVEKS9O73ERE",0.1,0.7,"True"
"A1YCGICA8XCNBH",1.17,0.7,"True"
"A1YOM14RNAUWT3",1.83,0.66,"True"
"A1YSYI926BBOHW",2.59,0.7,"True"
"A1Z1O6MMOB3UWW",1.61,0.44,"True"
"A1Z8AOIDT5IV43",1.08,0.56,"True"
"A20SL254675EOK",3,0.58,"True"
"A20X14OMRL0YPZ",0.19,0.78,"True"
"A20Z5O57UDPFLX",2.25,0.62,"True"
"A21UA6O7ZFAIQJ",0.3,0.54,"True"
"A228YSXU6H27QT",0.23,0.76,"True"
"A229SEF35EGTSF",2.11,0.56,"True"
"A22CRHYK7SPW8C",0.2,0.62,"True"
"A230GPTWWF3SE7",3,0.76,"True"
"A23437BMZ5T1FH",1.71,0.44,"True"
"A2389DERMNF3ZB",2.45,0.52,"True"
"A2482SLAY120J2",0.88,0.52,"True"
"A25N0K40JAZTN1",1.6,0.66,"True"
"A25VE425L75JHI",1.26,0.72,"True"
"A267GLM78AMQ75",0.47,0.68,"True"
"A26A4HEBGP2MOX",0.1,0.54,"True"
"A27MJOV91GA8R3",0.19,0.7,"True"
"A27SMEOPKV84VI",3,0.66,"True"
"A27ZE20JZ3VDUP",2.78,0.56,"True"
"A28G4QO0DRY8OZ",1.2,0.72,"True"
"A28T38MOUG43YD",2.75,0.7,"True"
"A29AKJXQ248KNK",2.32,0.58,"True"
